gebouw,build
"Polygon ((5.87682407 51.985569682, 5.876836504 51.985579149, 5.876841066 51.985642273, 5.876946229 51.985639553, 5.876958458 51.985802236, 5.876853586 51.985804964, 5.876858826 51.985867501, 5.876914346 51.985865931, 5.876937383 51.986177074, 5.876746139 51.986182472, 5.876746976 51.986193767, 5.876749594 51.986193576, 5.876753557 51.986255238, 5.876941756 51.986249538, 5.876944583 51.986284491, 5.876947343 51.986318572, 5.876622557 51.986327707, 5.876598859 51.986329181, 5.876583345 51.986331007, 5.876556412 51.986334877, 5.876536372 51.986338115, 5.876512642 51.986343364, 5.876483777 51.986351654, 5.876466884 51.986357747, 5.876451235 51.986364427, 5.876435669 51.986372159, 5.876419359 51.986380954, 5.87640468 51.986389887, 5.876386539 51.986401737, 5.876366944 51.986415013, 5.8763485 51.986428465, 5.876331728 51.98643897, 5.876322976 51.986444094, 5.876317491 51.986447065, 5.876311789 51.986448769, 5.87630505 51.986450289, 5.876296878 51.986451105, 5.876290862 51.986450816, 5.876282708 51.986449321, 5.876275579 51.986447014, 5.876269902 51.986444449, 5.876264449 51.986441002, 5.876260893 51.986436658, 5.876258765 51.986432397, 5.876257531 51.986428717, 5.87625748 51.986425347, 5.87625792 51.986421651, 5.876259172 51.986418967, 5.876260489 51.986416957, 5.876264063 51.986413589, 5.87626809 51.986410427, 5.876275244 51.986405606, 5.876247295 51.986389822, 5.876240407 51.986393581, 5.876234305 51.986394757, 5.876228607 51.986395517, 5.876224663 51.986395678, 5.876211563 51.98639317, 5.876207716 51.986391488, 5.876202785 51.986387823, 5.87619868 51.986382519, 5.876198339 51.98638066, 5.876198384 51.986374089, 5.876198639 51.986372066, 5.876204475 51.986366585, 5.876222032 51.986354612, 5.876126518 51.986301241, 5.87610273 51.986317132, 5.876096022 51.986316117, 5.876097278 51.986312499, 5.876098135 51.98630828, 5.87609838 51.986304036, 5.876098028 51.986299795, 5.876097094 51.986295583, 5.876096014 51.986292685, 5.876118316 51.986277995, 5.876116426 51.986243478, 5.875829706 51.986094726, 5.875786697 51.986071535, 5.875720885 51.986115878, 5.875590942 51.986042327, 5.875712297 51.985961009, 5.875737612 51.98594228, 5.875761037 51.985920997, 5.875782163 51.98589727, 5.875799264 51.985871501, 5.875806205 51.985857846, 5.875816557 51.985829966, 5.875821342 51.985805534, 5.875822093 51.98578093, 5.875813739 51.985670246, 5.875911274 51.985667477, 5.875909791 51.985647619, 5.875912194 51.985643726, 5.87591559 51.985640135, 5.875919908 51.985636935, 5.875925017 51.985634226, 5.875930788 51.985632072, 5.87593706 51.985630536, 5.875943645 51.985629664, 5.875950383 51.985629474, 5.875957085 51.985629967, 5.875963547 51.985631145, 5.875969608 51.985632962, 5.875975108 51.985635366, 5.875979886 51.985638304, 5.875983809 51.985641694, 5.875986776 51.98564543, 5.875988303 51.985665288, 5.875993646 51.985734718, 5.876010264 51.985734101, 5.876012275 51.98576504, 5.876084884 51.985763282, 5.87608624 51.9857835, 5.87608582 51.985803734, 5.876082601 51.985830335, 5.876076484 51.985856696, 5.876068092 51.985882833, 5.876050538 51.985921799, 5.876036139 51.985945669, 5.876011134 51.98597814, 5.875979017 51.9860126, 5.875952314 51.98603626, 5.875936872 51.986048584, 5.875903835 51.986072127, 5.875880398 51.986058895, 5.875848428 51.986081489, 5.876143415 51.986234001, 5.876146268 51.986286058, 5.876243158 51.986340197, 5.876251611 51.986334427, 5.876250853 51.986332974, 5.876291297 51.986306524, 5.876319908 51.986290999, 5.876344895 51.986278186, 5.876364185 51.986270286, 5.876391834 51.98625996, 5.876413973 51.986252929, 5.87643777 51.986245801, 5.876468517 51.986237934, 5.876493205 51.986232448, 5.876518951 51.986227765, 5.876549665 51.986223521, 5.876579845 51.98622105, 5.87659912 51.98621972, 5.876617778 51.986219274, 5.876650053 51.986218025, 5.876647828 51.986198251, 5.876646871 51.986185267, 5.876575269 51.98618729, 5.876552249 51.985876147, 5.876547987 51.985813714, 5.876293832 51.98582099, 5.876281899 51.985658567, 5.876666387 51.985647359, 5.876662081 51.985583659, 5.876674402 51.985573496, 5.876686193 51.985566724, 5.876701217 51.985560082, 5.876721629 51.985554972, 5.876734055 51.985553123, 5.876746768 51.985552162, 5.876759565 51.985552226, 5.87677246 51.985553296, 5.876785045 51.985555347, 5.876797146 51.985558298, 5.876808615 51.985562089, 5.87682407 51.985569682))",B50
"Polygon ((5.876097094 51.986295583, 5.876098028 51.986299795, 5.87609838 51.986304036, 5.876098135 51.98630828, 5.876097278 51.986312499, 5.876096022 51.986316117, 5.876095839 51.986316648, 5.876093816 51.98632071, 5.876091224 51.98632464, 5.876088091 51.986328428, 5.876084433 51.986332021, 5.876080292 51.986335409, 5.876075668 51.986338565, 5.876070633 51.986341453, 5.876065202 51.986344064, 5.876059434 51.986346371, 5.876053341 51.986348356, 5.876047012 51.986350009, 5.87604046 51.986351313, 5.87603376 51.986352257, 5.876026938 51.986352834, 5.876020069 51.986353051, 5.876013196 51.986352891, 5.876006363 51.986352371, 5.875999642 51.986351482, 5.875993063 51.986350233, 5.875986698 51.986348633, 5.875980563 51.986346699, 5.875974744 51.98634444, 5.875969257 51.986341874, 5.875964146 51.986339028, 5.875959468 51.986335919, 5.875955239 51.986332566, 5.875951502 51.986328996, 5.875948288 51.986325243, 5.87594561 51.986321326, 5.875943499 51.98631729, 5.875941969 51.986313144, 5.87594102 51.986308941, 5.875940668 51.9863047, 5.875940928 51.986300457, 5.875941784 51.986296238, 5.875943224 51.986292088, 5.875945247 51.986288026, 5.875947839 51.986284087, 5.875950971 51.986280308, 5.87595463 51.986276715, 5.875958771 51.986273328, 5.875963395 51.986270171, 5.87596843 51.986267283, 5.87597386 51.986264672, 5.875979629 51.986262365, 5.875985722 51.98626038, 5.875992051 51.986258727, 5.875998602 51.986257424, 5.876005303 51.986256479, 5.876012124 51.986255893, 5.876018993 51.986255676, 5.876025866 51.986255836, 5.876032685 51.986256365, 5.87603942 51.986257254, 5.876045999 51.986258503, 5.876052364 51.986260103, 5.876058485 51.986262037, 5.876064318 51.986264296, 5.876069805 51.986266862, 5.876074902 51.986269708, 5.876079595 51.986272817, 5.876083809 51.98627617, 5.876087546 51.986279741, 5.87609076 51.986283493, 5.876093438 51.986287401, 5.876095549 51.986291446, 5.876096014 51.986292685, 5.876097094 51.986295583))",B52
"Polygon ((5.868610151 51.984558187, 5.869146598 51.984543281, 5.86915768 51.984702033, 5.868728616 51.984713883, 5.868728334 51.984710694, 5.868572502 51.984714999, 5.868484224 51.984717436, 5.868476766 51.984615341, 5.868483839 51.984615141, 5.868479933 51.984561803, 5.868610151 51.984558187))",B01
"Polygon ((5.866894655 51.984767206, 5.866901635 51.984769182, 5.866895761 51.984776702, 5.867008375 51.984809266, 5.866977513 51.984849956, 5.866984098 51.984851862, 5.866946762 51.984901091, 5.866895213 51.984885994, 5.86690972 51.984866367, 5.866834982 51.984844479, 5.866833719 51.984846201, 5.866727804 51.984815183, 5.866734122 51.984807086, 5.866715693 51.984801687, 5.866734649 51.984777386, 5.866753092 51.984782785, 5.866788634 51.984737222, 5.866798665 51.984740066, 5.866809151 51.984735035, 5.866840567 51.984743356, 5.866840294 51.984751833, 5.866894655 51.984767206))",B02
"Polygon ((5.868035627 51.985412262, 5.868051319 51.985389143, 5.868119857 51.985406893, 5.86810468 51.985429237, 5.868342945 51.98548782, 5.868424371 51.985363592, 5.868607316 51.985408495, 5.868523975 51.985537342, 5.868511478 51.985533996, 5.868440126 51.985643334, 5.86825617 51.985597895, 5.868261483 51.985589712, 5.868234072 51.98558302, 5.868245622 51.985564592, 5.867666838 51.985421283, 5.867680312 51.985399017, 5.867618635 51.985384304, 5.867646474 51.985341307, 5.867617886 51.985334844, 5.867769095 51.985105419, 5.867606385 51.985064396, 5.867639947 51.985010814, 5.867650862 51.985013214, 5.867679662 51.984970303, 5.867833154 51.985008245, 5.867885036 51.984967514, 5.867922197 51.984976656, 5.867923242 51.984974989, 5.868147405 51.98503016, 5.868130949 51.985055341, 5.868315098 51.985101372, 5.868564743 51.985163782, 5.86854597 51.985192846, 5.868488521 51.985281823, 5.868479729 51.98529544, 5.868309987 51.985253152, 5.868046897 51.985187238, 5.868039825 51.985198367, 5.867965648 51.985201753, 5.867964717 51.985189632, 5.86793824 51.985183098, 5.867850516 51.985318739, 5.868006854 51.98535729, 5.867986328 51.985388527, 5.868007274 51.985393691, 5.868000713 51.985403677, 5.868035627 51.985412262))",B04
"Polygon ((5.868193684 51.98492985, 5.868258879 51.984830137, 5.868533378 51.984898593, 5.86851825 51.984922707, 5.868692589 51.984966217, 5.868642677 51.985042543, 5.868193684 51.98492985))",B09
"Polygon ((5.869341189 51.985299104, 5.869388063 51.985227221, 5.869403444 51.985203627, 5.869811656 51.985305849, 5.869796144 51.985329417, 5.869748906 51.985401185, 5.869684622 51.98538509, 5.869666224 51.985404329, 5.869546674 51.985374115, 5.869555105 51.985352661, 5.869341189 51.985299104))",B11
"Polygon ((5.868832665 51.985557516, 5.868855038 51.985522118, 5.868848515 51.98552059, 5.868851692 51.985515562, 5.868868432 51.985519493, 5.868934841 51.985416296, 5.869324887 51.985513165, 5.869255653 51.985620212, 5.869180407 51.98560151, 5.869134782 51.985671743, 5.8688499 51.985600716, 5.868840152 51.985616143, 5.868816094 51.98560995, 5.868801847 51.985606287, 5.868832665 51.985557516))",B12
"Polygon ((5.869285024 51.985791581, 5.86927112 51.985814486, 5.869240615 51.98580707, 5.869235844 51.985814217, 5.869180219 51.985800657, 5.869185029 51.985793042, 5.869154031 51.985785798, 5.869168509 51.98576352, 5.869200819 51.985770974, 5.869202141 51.985767984, 5.869256149 51.985781479, 5.869254262 51.985784669, 5.869285024 51.985791581))",B13
"Polygon ((5.869549849 51.985956033, 5.86952318 51.985949384, 5.869531819 51.985935048, 5.869498699 51.985926788, 5.869506487 51.985914595, 5.869455372 51.985902149, 5.869504277 51.985828289, 5.86987165 51.985920001, 5.869893846 51.985885736, 5.869893988 51.985884082, 5.869895313 51.985882728, 5.869897864 51.985881765, 5.869899609 51.985881533, 5.869900689 51.985881816, 5.869901528 51.985882613, 5.87001859 51.985911461, 5.870049126 51.985918985, 5.870072305 51.985924696, 5.8700656 51.985917201, 5.870074925 51.985903015, 5.870089362 51.985901356, 5.870092282 51.985896697, 5.870084813 51.985889869, 5.8700971 51.985870979, 5.870110315 51.985869262, 5.870115935 51.985861284, 5.870121439 51.985862772, 5.870151665 51.98581581, 5.870354521 51.985866768, 5.870364086 51.985852005, 5.870394123 51.985859172, 5.870390631 51.985864732, 5.870453511 51.985880113, 5.870448316 51.985889743, 5.870608879 51.98592963, 5.870616713 51.985917616, 5.870696554 51.985937144, 5.870689702 51.985949755, 5.870856737 51.98599162, 5.870863185 51.985982093, 5.870925892 51.985997609, 5.870930328 51.985990481, 5.870969199 51.986000101, 5.870958566 51.986017123, 5.871146027 51.98606311, 5.871115037 51.986110624, 5.871125284 51.986113179, 5.87099532 51.986312131, 5.870994274 51.986313727, 5.870665858 51.98623197, 5.870397256 51.98616469, 5.870415158 51.986137355, 5.870357674 51.986122895, 5.870355923 51.986126588, 5.870350772 51.986125431, 5.870352867 51.986121288, 5.870297268 51.986107459, 5.87029494 51.986111648, 5.870289452 51.986110304, 5.870291707 51.986106061, 5.870217963 51.986087713, 5.870215447 51.986091912, 5.870209929 51.986090533, 5.870212737 51.986086386, 5.870156161 51.986072399, 5.870154051 51.986076542, 5.870148609 51.986075378, 5.870151179 51.986070721, 5.870095468 51.986057305, 5.870092468 51.986061299, 5.870087185 51.986060027, 5.870089074 51.986055687, 5.870015539 51.986037679, 5.869994178 51.986069675, 5.86980106 51.986021391, 5.86980674 51.986012164, 5.869562858 51.985951522, 5.869558504 51.985958191, 5.869549849 51.985956033))",B16
